ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
578,2,kuaci89,10,ABOVE MY EXPECTATION.,"Just WOW , The Russo nailed it, hand down from me they did it again. Part by part is interesting to watch , some of scene make me shock some scene make me wanna punch people so bad. Thanos is the best villain Ive ever seen. He not just normal villain to kill bunch of people because he love but his motivation so clear why he wanna do that and most people know he is collecting all the infinity stones. One of the best part of it the team up Guardian & Avengers just amazing, full of humor cannot stop laughing watching their scene together. For 1st time my brain cannot process what going to happen in Avengers 4 really hype about it.Really worth watching it , if u non Marvel fans or superheroes fan this movie is worth to watch , really enjoy it . Of course every good movie always have some issue with it but just MINOR issue can close eye and let it go. Going to watch it again soon . Love from Malaysia.",,,,,,,,,,,,,,,,,,,
579,2,pranayjalvi,9,Infinity War deserved to be the best and gran,"The most anticipated movie of 2018 has now been released and my word, I have to say that Infinity War was brilliant on each scale, whether be its story, Visual Effects and the ensemble cast consisting all the Marvel characters. Every Marvel Fan needs to watch the movie as words cannot describe the magnificience of the movie.",,,,,,,,,,,,,,,,,,,
580,2,hotjanuary,7,Marvel needs to keep their characters true an,"Infinity War is a good super hero movie. But I thought Thor Ragnarok and Black Panther were better.Marvel has a problem with level and types of power of the super heroes in their movies.1 if a battle between the Hulk and Thor in Ragnarok nearly destroy an arena made for super powered combat Im pretty sure Hulk vs Thanos in a spaceship would last one punch.2 Star-lord is just a dude, he does not catch and hold Spider-man.3 If Tony Stark can have dozens of flying robot iron men helping to fight bad guys in Iron Man 3 why not have 100s of them to help in Waconda? Im sure War Machine would have access to activate them.4 If Scarlet Witch can pickup and drop 1000 ton alien attack blades near Wakonda why do 2 dudes in Scotland give her a hard time?5 Steve Rogers isnt invulnerable. When swarmed by alien soldiers with sharp claws and teeth hes apparently unharmed after Thors hammer clears the baddies away. They had time to rip Steve up but didnt?Dont take the easy way out when writing the story",,,,,,,,,,,,,,,,,,,
581,2,robert-85923,4,Too much and not enough at the same time,"Im probably going against the general reception for this film but for me this film was just too much and not enough at the same time. Marvel fans will probably disagree with me. There is a star studded cast and clearly a lot of money has been spent to make this film a real spectacular.However, for me there were too many obvious special effects, too many leading characters and far far far too much action. It just keeps coming at you relentlessly. At the same time theres not enough real story and characterisation, not enough time to take in whats going on and definitely not enough warmth or comedy which is the hallmark of many Marvel films Ive seen before. I just wanted it to end but it kept dragging on for yet another battle... When it finally did end I felt cheated of the time.",,,,,,,,,,,,,,,,,,,
582,2,idaustin,2,CGI drivel disguised as something epic,"In order to explain current mass appeal, I have to quote Senator Gracchus in Gladiator Rome is the mob. Conjure magic for them and theyll be distracted.""And thats what this is", conjured magic meant to distract the masses,,,,,,,,,,,,,,,,,,
583,2,Lursa,4,"Plot Holes, Jumbled Action Sequences, & A Big","SPOILER ALERT!!I am a Marvel Chick. I totally dig the whole Marvel Verse and wave my fangirl flag proudly. I was looking forward to this movie so much...then something happened. I went to see it today. I did not read any of the reviews before I went. I never do. I always view a film without input from folk that usually dont know what I like. So there I was, popcorn and coke in hand. Two rows back from the screen cause Im into total immersion, okay in my reclining seat. Ten minutes in and I know were in trouble. Its not the fact that two of my favorite characters didnt survive the opening credits. This is Infinity War, right? People are gonna die. Its just seemed so pointless. Loki dies but Thor survives? How is that fair? Hemdall dies saving Hulk of all people?? Not that Im hatin on Hulk...but come on, Hemdall! You have sworn an oath to the Thone of Asgard and you dont save EITHER of the princes? Really?? I know Hulk is refusing to come out after Thanos kicks his butt that no one ever ",,,,,,,,,,,,,,,,,,,
584,2,TheBigSick,2,A tedious and dependent film,"SPOILER The plot is simple that the supervillian succeeds, but Russo brothers waste too much time on piling up the superheroes. The film is just too long, and you keep looking at the watch to see when it will end. There are too many characters, and if you did not view the previous Marvel films, you would hardly get any sense of who they are. It is an OK film for Marvel fans, but chaos for a general audience.",,,,,,,,,,,,,,,,,,,
585,2,rowpotdroid,1,Please stop the Hype!,"Suffering hype fatigue, over a year of industry talk about this movie in pre release. It takes away from viewing the movie. In the end its just more of the same computer generated over the top smash and bash that appeals to 12 year olds or those that are stuck at that age. The first avengers was original. But now what Hollywood movie makers due best, take an original movie concept to cash in until death in franchising occurs. Sorry about raining on your Hollywood comic book Heroes block borer. But the only hero I can see is someone to say enough comic book sequels. Theyve become boring and predictable recycles. I spent more time thinking about how uncomfortable the theater seat was than being interested in the things blowing up in the movie. Seems Hollywood is addicted to CGI for making movies that shouldnt be made. If they keep going this way they could probably try selling a film of things just blowing up, no story, plot or actors acting just things blowing up.",,,,,,,,,,,,,,,,,,,
586,2,dinhphuccdt,1,"Sorry marvel fans, this is trash","Another avengers movie, another crappy one. It is extremely overrated, overhyped, disappointed. The middle of the movie is slow and no intensity at all. The final battles are just tasteless, emotionless. I dont know why people cry or sad for this kind of ending. It is just tasteless. Honestly if Ironman died by being stabbed by Thanos, that would be emotional, because he fought hard and would die a real hero. But he didnt die, and the ending scene, dozens of heroes die one by one, like a natural death, I dont even think that they died fighting, and its too fast to be emotional. Its obvious that they will be revived in the next movie, why would I cry?. I felt the ending scene was just trying to get some tears from audience and set up for second part, which will definitely steal tons of money from marvels fan again.LASTLY, the motivation of Thanos to acquire 6 stones is the dumbest thing I have ever heard, even worst than my politicians. How killing half population of the universe solve ",,,,,,,,,,,,,,,,,,,
587,2,holgerscholl,1,Utterly disappointed,"So, this was it, the culmination of a decade of Marvel movies preparing and leading up to this final showdown? Well, I could not be more disappointed.Here is whyYes, the film brings together many different story lines. But it does so in pretty predictable ways. A few mildly funny scenes when the heroes of different movies meet for the first time. But thats it. Thats about the only good thing I can say about the story.Yes, CGI and FX are top notch. But as the story is pretty simple in itself until the end, thats not saving the day.The story in deed is very lame and to a large extend either predictable or stupid. There are quite some inconsistencies such as humans breathing on Titan, Thor talking in space and such. Not the ingredients of a fantastic climax movie.A few examples Spoilers!!!Thanos kills almost all Asgardians, but Thor. Thor proves he can survive and even talk in outer space, survive the fire of a star. Wow, really? Lame.Thanos is so powerful, you wonder why he hasnt collect",,,,,,,,,,,,,,,,,,,
588,2,derriivve,10,Wow that was trash,Deserves like not even a 1 star. this movie was nothing but CGI filled with subpar performances and a very mad score/soundtrack. the movie is basically just an ad for avengers 4. and in this film deaths occur at the end but they dont mean anything since all of them will come back. what? this is absolute trash storytelling. you expect audience to be sad and then just bring the characters back the next film.,,,,,,,,,,,,,,,,,,,
589,3,rupert-ian,7,What do you expect?,"Ok, lets see. A movie based on an incredibly simple video game about monsters climbing buildings and eating people. Do people go in thinking its going to be Oscar material?I love Godzilla. I love Kong Skull Island, Pacific Rim, you get the picture.Its a giant monster movie with The Rock and Negan in it. And it is a barrel of fun.The humor is good, the effects are great, the story is interesting, the pace is fast, the characters are fun.If you can turn off your brain and just have a good time, youll love this.For people saying they hated it, I have to question their reasoning for spending money on a movie that is clearly laid out by the trailer and premise alone. If you didnt enjoy it, what on earth did you expect?????",,,,,,,,,,,,,,,,,,,
590,3,jackgdemoss,7,Accept the film for what it is,"A movie about an old arcade game starring the Rock? Count me in. I went in with my brain shut off, and got a couple chuckles and, for the most part, everything I expected.",,,,,,,,,,,,,,,,,,,
591,3,facebook-923-997082,6,Gloriously Terrible,"Every single cliche of an action/horror/adventure flick rolled up into one. The charisma of the two big guys Dwayne and George carry the entire movie. This movie is not going to change your life, but it will keep you mildly amused.",,,,,,,,,,,,,,,,,,,
592,3,claudio_carvalho,6,Brainless Entertainment,"Rampage"" is one of those brainless entertainments full of clich̩s", plot holes and corny and terrible storyline. But if you have nothing to do and wants to spend your leisure time having fun and eating popcorns,,,,,,,,,,,,,,,,,,
593,3,TheTopDawg,8,"Appreciate this film for what it is fun, mind","Appreciate this film for what it is fun, mindless, action-filled entertainment. No need to dissect, analyse or compare this. My only few complaints are that the writing was too loose and should have been edited down by 15-20 mins to keep the pace more elevated throughout. Also, not a fan of the Energyne CEO sister and brother characters - they were way too cheesy and annoying and cheapened the film. All other actors were cast and performed great, and Dwayne entertained as always. The SFX/VFX were also great. A fun and well deserved 8/10 from me",,,,,,,,,,,,,,,,,,,
594,3,Stig-12345,8,"Excellent, but do NOT watch the trailer!","A lot better than expected. And on IMAX 3D this was a winner.Recommended!I hate trailers, and tried to watch the trailer after I watched the movie.. well, it shows EVERYTHING! If you want to see the movie without knowing whats going to happen, do NOT see the trailer.Im not sure why the trailers are so long and so revealing.They ruin everything for me. And in cinemas I have to watch a whole bunch of them!",,,,,,,,,,,,,,,,,,,
595,3,Scottizzle,10,This is exactly what you think it is... And t,"Its a Rampage movie, Im not sure what else people are expecting walking into this movie. Its fun, filled with action and very little on working on guy/girl romance which I always thought deviated from the plot anyhow. Its full of action, adventure and very slight amount of problem solving and thats all you need from a movie like this.",,,,,,,,,,,,,,,,,,,
596,3,TheTruthDoor,10,Top Fuel Fun!,"Inspired by the classic Arcade and later various other systems game of the same name, the movie boasts a predictably simple premise and lets just say the characters are not too complex.. yeah. But this is OK! Nobody will see this movie for compelling characters and dramatic scenes. The cast is mostly just passable, with the exception of Johnsonwho always rocks! and Jeffrey Dean Morgan who turns in one hell of an entertaining government agent, and of course George the gorilla is also one cool dude. It is like a live action Saturday morning cartoon! Its fun, high octane action with some pretty sweet scenes and solid effects. If you want to see a popcorn flick then look no further, if you remember the games nostalgia might be included!",,,,,,,,,,,,,,,,,,,
597,3,axlem2000,9,"Fun, humor and epicness!","My first review on this so Ill try keep it awesome without causing any spoilers or anything along those lines. This is all in my opinionFirstly, this movie was epic! Brad Peyton delivers. The movie was filled with action, with insane sequences of destruction. George is hilarious, I couldnt stop laughing! The camera work was executed well, the directing was great, the dialogue I felt couldve been tweaked. Overall, if you like action and destruction films then youll love this movie as its filled with action, suspense, humor and Dwayne Johnson!",,,,,,,,,,,,,,,,,,,
598,3,hasanbolkiah-91427,5,"Popcorn flick but nothing else, not terrible ","I didnt wasnt expecting much going to see this movie but it wasnt the worst of 2018. In fact, It is what you expect it to be in terms of being. a popcorn flick. I have to say the special effects were indeed well done but the dialogue ended up being cheesy and just forced throughout the film. I did enjoy the last 20 or so minutes as it showed what most people were waiting for. Monsters destroying Chicago and each other. The movie is good in terms of being a popcorn flick but nothing else7/10",,,,,,,,,,,,,,,,,,,
599,3,Blitz_Kid,4,"Lame, Cliche and Predictable","Your typical giant monster destroys the world movie.The movie is filled with cliches, the characters are very poorly developed. I didnt care about a single one of them. The Plot is also pretty lousy and extremely predictable, especially the ending.One good thing I would say about this movie, is it is filled with lots of action and good effects.Other than that? It fails at everything else.",,,,,,,,,,,,,,,,,,,
600,3,mitchellbieds,9,Very Fun Film,"I can understand why this film is getting low ratings, because it can be very cliched and cheesy especially with the dialogue, but that doesnt take away how fun it was!! Its no doubt that its the action and special effects that really drive this film and there are some pretty intense action sequences, not just the RAMPAGE in the last 20 minutes, which was probably the most fun Ive had in a movie for a while. The chemistry between Dwayne and George is very good, although I feel it couldve had a more emotional element to it. In regards to the humor, some of it landed and some didnt. Overall, If you go into this film and turn your brain off and just enjoy what it is, I think youll have a lot of fun with it. The film understands that it is ridiculous and a bit far fetched but again, its really fun especially the last 20mins.Go and experience this, you wont regret it.",,,,,,,,,,,,,,,,,,,
601,3,siriusly1986,1,The Real Monsters are these Multi-Million Dol,"Great cast but its another mindless, heartless giant monster flick destroying the city and trampling everyone. I wonder why the latest Godzilla movie got a bad rap but glorified B-movies like this and Kong Skull Island gets applauded. The monsters are obvious cgi hiding behind dense action sequences, the evil corporate guys are stereotypes from other monster, sci-fi movies we have seen a thousand times before and the military OF COURSE are worthless fodder. Tiny humvees closing in on very fast gigantic animals firing their machineguns knowing previously how that worked out, Apache helicopters firing at close range at a giant wolfs face with his worthless cannon instead of using guided rockets from a distance, and soldiers go out of their way to be squished like bugs ala Kong Skull Island style. Its that kind of thing you would see a child playing in his sandbox and destroying his toys. I would have understood if it was a child that made this movie.",,,,,,,,,,,,,,,,,,,
602,3,cruise01,9,"Action packed, big, loud, and a lot of fun.","Rampage 4.5 out of 5 stars.Video game adaptations into films have been ongoing with a curse from missing a specific target audience. Resident Evils are not great films but have been entertaining with its action. The new Tomb Raider reboot was surprisingly good but could have been more. And there are other lacklusters like Prince of Persia, Doom, Silent Hill, ect. A movie about three giant monsters of a crocodile, gorilla, and a grey wolf causing a mass destruction in a city. Yes, that is what the arcade games are about and that is exactly what you can expect in this Rampage film. At least, it is one hell of a wild ride of fun. So dont expect any award winning script with great dialogue, a long developing story, or logic with characters choices in the movie. If you leave all the critical thinking out before watching the film, you will find the film to be what it is. And it does its job, which is entertaining and being a lot of fun. The plot follows after a science experiment gone wrong ",,,,,,,,,,,,,,,,,,,
603,3,Takethispunch,10,Mindless action filled fun entertainment film,Global icon Dwayne Johnson headlines the action adventure Rampage," directed by Brad Peyton. Johnson stars as primatologist Davis Okoye, a man who keeps people at a distance but shares an unshakable bond with George, the extraordinarily intelligent, incredibly rare albino silverback gorilla who has been in his care since he rescued the young orphan from poachers. But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.",,,,,,,,,,,,,,,,,,
604,3,donkeykong-66104,10,Best video game movie to date.,"Not going to win any oscars but what do you expect from this type of movie? It was all fun and I enjoyed it for what it was. I guess some people who didnt grow up in the gaming world and know or loved the rampage games might not get it"" but it was great fun.""",,,,,,,,,,,,,,,,,,,
605,3,danwatson_danwatson,9,I love it!,"If you loved the monster movie of old, this movie is for you. Great special effect, funny moments, and good old monster fighting/smashing!",,,,,,,,,,,,,,,,,,,
606,3,inkthestreetac,10,Entertaining,"The cgi in this movie was done so good. Every hair, dust particle, even eye movement was exceptional. The cast was amazing, they all seemed to be fully dedicated to this film. The best part is that they dont really curse, they do flip the bird. But overall if you liked the game and want to see a movie about a video game thats well done see this movie.",,,,,,,,,,,,,,,,,,,
607,3,Figgy66-915-598470,10,Corny but I loved it,"16 April 2018Second fIlm of Choice at The Plaza Dorchester Tonight - Rampage. When man interferes with nature, it always goes wrong, you think people would learn but why do they have to when Dwayne Johnson is there to save the day!!! Inspired by a video game Im not familiar with, Rampage is as corny as they come, yet with monsters as gargantuan to the species as Dwayne Johnson is to his, this film somehow works. A science experiment, in the eyes of many, has gone wrong, but in the greedy money grabbing eyes of the people who are in control of the scientists, everything is right on track to make their fortune. Throw the military into the mix and you have a typical Hollywood all action disaster film. Once again Chicago bears the brunt, and its such visual feast of varying shaped buildings, interspersed with bridges, waterways, a raised railway transit system and a huge lake next to it, it must be a movie makers delight to base it as the battlefield of all manner of horror/disaster/saving",,,,,,,,,,,,,,,,,,,
608,3,gabrielmorenocorredor,10,A very entertaining movie,"Rampage is based on a video game which i didnt know until i search it up after seeing the trailer for the first time that got me interested. so far after see this movie yes it looks like a video game, but at least it has a story that makes sense the acting in this movie is great ,and even the effects. This movie is a entertaining movie for those who like action or even some time off.I give this movie a 10 for being everything I asked for it is like a GodzillaJapanese movies destruction movie which keeps kids wanting more destruction, so yes its a good movie to see. lets hope this is a new era of video game movies.",,,,,,,,,,,,,,,,,,,
609,3,casmowill,10,Funny and entertaining,I enjoyed the action packed unexpected scenes. It was also funny! I wasnt sure Id enjoy it but I thouroghly did.,,,,,,,,,,,,,,,,,,,
610,3,kyairaburnett,1,Trash... and everyones blind to it,"All in all, lets all agree that Dwayne makes the same exact movie over and over again. Handsome and oblivious"" all the time. No idea how he kept surviving and the sidekick lady was thrown into the plot. I couldnt care less what happened to her. But it make no sense how she survived either. I wouldve liked just Rampage fighting because every SINGLE WEAPON was conviently placed for Dwayne to use. It was insane. Never did they also realize how many people were dying. I didnt even understand the villains. What was their point. Neither did I understand the officer who wanted a hamster. It was a messy script. People need to realize that Dwayne doesnt make a movie better. He keeps repeating them. Eventually people will see it and stop type casting him until he comes onto set for an iconic movie and ruins it like Channon Tatum playing Gambit.""",,,,,,,,,,,,,,,,,,,
611,3,GOWBTW,9,"I played the game, but this is more fun!","I remembered playing the arcade game, Rampage"". You got the 3 animal characters George the Gorilla", Ralph the Wolf,,,,,,,,,,,,,,,,,,
612,3,pchin230371,9,One Big Fun Roller Coaster....Strap your seat,"I walked it with zero expectation. I left my brain at the cinema entrance. This movie aint a cup of tea for everyone. I have lots of complaints but this time I will look at the bright side, oh boy I had fun and thrill watching this movie! As expected Dwayne Johnson saves the day again with his heroic acts plus some muscles obviously! He does rock indeed...badass.  Its good to see Jeffrey Dean Morgan here..I like this guy...oh man, in this movie this is literally the same man taken from the AMC Walking Dead TV series Negan"" except he is now in a suit and without his beloved Lucille! Its hilarious", this alone worth the ticket price! My only gripe is Jake Lacy Brett Wyden who looks like a halfwit. His sister is cool though.Well,,,,,,,,,,,,,,,,,,
613,3,seven-mod,10,Very entertaining,"If youre looking for a fun movie to watch, this is definitely it.",,,,,,,,,,,,,,,,,,,
614,4,treebeard-44735,6,The movie does not deserve the low reviews,"The movie did not receive the bad amount of comments or opinions it got from other users. Quite frankly, they are wrong in calling Truth or Dare a bad movie, as it is not meant to be a masterpiece but a fun movie to watch in a rainy day scenario. If you are looking for a movie that you can switch off to and just watch a movie that is mindless entertainment then Truth or Dare is a movie i recommend it if you can look past of the cliche horror tropes. Overall the movie as some decent young actors in it and is a passable horror movie so i suggest giving Truth or Dare a chance.",,,,,,,,,,,,,,,,,,,
615,4,jwwalrath-227-85487,7,People are too hard on this,"Im seeing a lot of bad reviews on this, and I think people are being way too critical. Dont get me wrong, this isnt the next A Quiet Place"" or ""It."" This is a PG-13 teen horror flick that shows a lot of sexy young adults being killed. Its goal is just to provide mindless", violent entertainment for a couple hours,,,,,,,,,,,,,,,,,,
616,4,davkell,6,Not as bad as people are saying it is!,"I really was keen on this when I originally saw the trailer, and then had my doubts when the first reviews came in. But it isnt as bad as many are saying it is. Yes, I probably wont ever watch it again, but it certainly kept me interested throughout the entire time. No spoilers, but the ending is certainly worth the watch. It created a bit of discussion on moral dilemmas between me and my 2 sons 16 & 14.",,,,,,,,,,,,,,,,,,,
617,4,asfurd,7,Lets Be Real Here,"People who rate this movie anything lower than 5 are obviously not taking their review seriously. They might not like the film personally, but that shouldnt generate a biased low score. Unlike a lot of other horror movies, this one actually had a backstory as to the origins and reasoning for the gameI was surprised with that. I expected it to just be a scary game with no purpose, but I genuinely respect that they added a backstory. Next, this movie is overall just unique and cool. Unlike other cliche horror films where some demon figure is haunting"" the house"," this film takes a unique approach by having a group of friends end up being the ones that have to do the ""haunting"" and ""killing""; this concept also played well on friendship and family bonds/truth telling and trusting one another. Lastly",,,,,,,,,,,,,,,,,,
618,4,Jared_Andrews,2,So Terrible that its occassionally Funny and ,"You know how some movies can be so bad that theyre secretly kind of good? Truth or Dare might be one of those movies.  As far as being legitimately good, its not. Its terrible. Its littered with nonsensical reactions, silly dialogue, and unintentionally hilarious moments. Maybe those weird smiles that every character makes at one point are scary to others, but I found them funny every time.  The movie is pretty straightforward, but Ill give a brief explanation anyway. A group of friends goes to Mexico on spring break. While there, a stranger invites them to play truth or dare in a creepy abandoned church. It turns out that the game is possessed by a demon who follows them and forces them to continue playing the game until every player is dead. Fail a dare, you die. Tell a lie, you die. Refuse to play, you die.  The game and movie are essentially Jumanji crossed with Final Destination. Its PG-13, so its not nearly as graphic as Final Destination, which I didnt mind. It all sounds simple",,,,,,,,,,,,,,,,,,,
619,4,claudio_carvalho,3,Unoriginal and Laughable Storyline,"I believe any mediocre writer can buy unoriginal and laughable storylines like Truth or Dare"" with dots to be filled in accordance with the wished situation and maybe a list of films to be seen with the same storyline to give inspiration to the aspirant writer.A group of __ friends go to ___ and they bring a curse ______ with them. Along the story", ___ will die while the survivors try to find a way to break the curse. Question will they succeed? Y or No. In case of no,,,,,,,,,,,,,,,,,,
620,4,kdero34,3,Mega mind has the same smile,"Seriously, I finished the movie, closed out of in and went to my amazon title menue and there was a pic. of Mega Mind the movie and he has the SAME smile!!! LOL. In all seriousness there were MAGOR plot holes that could have made it so that EVERYONE who was alive could have won... I found the movie to be in decent concept but very immature. To top it off the ending made no sense. Why didnt they make it so EITHER of these 2 could happen 1 the demon picks truth and the girl asks the demon how do we kill you"" the demon would then HAVE to answer it truthfully otherwise it will die. Or 2 the demon picks truth", since the girl asked the demon to play it HAS to play right? So the girl picks truth,,,,,,,,,,,,,,,,,,
621,4,prayoften,8,One of the BEST ENDINGS EVER,"After reading all of the negative reviews, I went into this movie fully expecting it to be a dud. But Regal is offering extra benefits for seeing 4 Universal movies this year this is one of the 4, so I said what the heck. Wow, was I pleasantly surprised. I really ended up getting into this movie. Its so different, very unique, filled with creative ideas, and entertaining throughout. The movie held my attention and it flew by. But the ending is where this movie will be remembered the most. It is without a doubt one of the most CLEVER ENDINGs Ive ever seen. The ending alone is worth going to see this movie. I have a strong feeling that too many people went into this movie with a negative bias, thus the reason for all of the negative reviews. It is also clear that most people clearly missed the entire premise of the ending, otherwise there would be more people on here raving about the brilliant ending to this movie. I certainly didnt see it coming. If you are one of the few who actually u",,,,,,,,,,,,,,,,,,,
622,4,channy_0130,6,What you expect,"If you have seen the trailer, then the movie is exactly what you would expect it to be. Its extremely average and cliched. Not a bad watch if you wanna kill some time, but I wouldnt waste your money on seeing it in the cinema.",,,,,,,,,,,,,,,,,,,
623,4,sashachambers-03252,8,These other reviews suck.. the movie was... r,"First off it was a scary movie, cheaply made or appeared to be but... with that said I found it entertaining. I watched it for what it was, a scary movie. I didnt jump out of my seat. But was surprised 2 times and that was good enough for me. Although the ending was obvious... the characters did a great job, there was a plot, there was a storyline. I enjoyed it. Was it my favorite NO, but it was by far better then Medeas Boo Halloween. No comparison. I will say this, to all the movie goers... these days, when they say turn off your damn cell phones, DO IT, Stop talking through the God Damn movies and for goodness sake, if a patron is sitting in a seat in front of you keep your damn feet off of the back of the seats.. This poor girl got told last night that her feet were awful smelling and I would appreciate it if she would move them. 12.50 to see a movie is allot, I hate when other inconsiderate patrons crap on it!",,,,,,,,,,,,,,,,,,,
624,4,Sci-FiHorrorFan,7,Im Sorry but this movie was Not Bad it was ac,"Yes, I liked the Film even though most people dont, The Film was actually surprisingly Tense and Thrilling And I like the fact that it took the possession concept and did something different with it so it wasnt your typical possession movie that we see a lot.The movie may start off as a cliche because of the truth or dare games the characters play but the movie later takes a different turn and it becomes a possession movie but done in a unique and interesting way that Ive never seen before.Thats part of the reason I liked the film because it uses the game of truth or dare and mixes it with possession among other things which made it more interesting and I think the movie deserves some credit for that.I didnt love the movie but I did Like the movie and it deserves a higher score on IMDB in my opinion.Im not saying the movie is Great but it was Good and it was pretty entertaining and intense most of the time.The characters may not be that good I can admit that but I didnt think they were",,,,,,,,,,,,,,,,,,,
625,4,neener3707,3,I Expected Bad - And I Got Bad,"One cannot deny the direction mainstream Hollywood horror"" films are going in", not a direction of true horror,,,,,,,,,,,,,,,,,,
626,4,mawhinney,6,Mediocre,"Ive seen better, Ive seen worse. This will be forgotten in a few weeks.I just didnt care about any of the characters. I typically enjoy BlumHouse horror films but this just felt lazy.",,,,,,,,,,,,,,,,,,,
627,4,jameszxcvbn,2,probably the worst horror flick in 2018 and i,"I went to watch this film because the trailer looked promising but what I got was a very ordinary and stupid plot of a film.The opening started promising yes with an interesting topic of players choosing truth or dare and if they dont do the mission, they die. Interesting plot with interesting build up of character thats showing the douchiness of the friends and a cheater and friends who are dumb enough to cover for that mess.Why I thought this film was crap was when that blonde chick was revealed to have slept with multiple guys. Okay, fair enough shes a slut but the fact that the main character was covering for that and that blonde friend got mad for revealing the truth. The build up of character is all a mess and where their priority lies is just all over the place. The fact that the blonde chick gets mad when she was the one doing all the cheating and the boyfriend Lucas not even getting 1 single bit mad at this fact. Literally the ONLY sad truth or dare part was when that Asian ch",,,,,,,,,,,,,,,,,,,
628,4,justinwfirestone,4,No joy in this curse,"It is, ahem, Blumhouses Truth or Dare, not just any-old, plain-old Truth or Dare. Its not the sixth installment of the cult classic Truth or Dare?  A Critical Madness, even though it psychologically draws from the same wells. Its not anything to do with Madonna Truth or Dare. It is its own self, although sex still kills, college kids love to drink a lot on Spring Break, and if theres a really mysterious curse that seems unstoppable, you can always find some kind of answers through clever Google queries, preferably using Apple products whenever possible.Be a good friend and dont be a jerk, or else you are going to get far less screen time than your cohorts, and definitely no nooky. The game of Truth or Dare? is no fun when the truth hurts and the dares maim. In fact, thats the biggest problem with Blumhouses Truth or Dare its not fun. Unlike Happy Death Day or The Strangers Prey at Night, theres almost no self-awareness that this is a pretty bad idea for a movie, no joy in an insipid pl",,,,,,,,,,,,,,,,,,,
629,4,martitah_1,2,I dare you NOT to stop laughing,"When I walked into the cinema, I was already certain that it was going to be bad based on the ratings here on IMDB. What I wasnt expecting was it to be so bad that it was more of a comedy than an actual horror movie. The whole room was laughing at the death scenes"" and strange facial distortions on the characters...When you see what looks like a Snapchat filter on the characters faces"," you start wondering if the budget was so low that they didnt have better ""special effects"" to make it more realistic and not so ridiculous. The plot is bad",,,,,,,,,,,,,,,,,,
630,4,vacantskies00,5,Final Destination meets Ouija,"A group of teens find a supernatural entity that is using a game to kill them off one by one; unless you play by the rules. Director Jeff Wadlow is no stranger to the genre. The underrated meta-slasher Cry Wolf was a simple, yet intelligent take on PG-13 horror/thrillers. With Truth Or Dare, and Blumhouse in tow, he attempts to capture similar teenage themes of trust, denial, and the fact that your closet friend could be a liar. What works for this film is its ever evolving sense of menace. The entity really bares down on each characters flaws. Each kill"" has relevant motivation and pushes the rating to the max. The facial effects are decent and creepy. What works against the film are the characters. Most of them are disposable. Merely there to add death scenes and nothing more. Additionally", several scenes which couldve added more to certain character arcs simply cut away to move the story along,,,,,,,,,,,,,,,,,,
631,4,cjlove2523,2,Dont waste your time,"Paint your house and watch the paint dry for more entertainment and scare yourself in the mirror if you want to be scared. This movie is sick, corny, and just plain stupid. Save your brain cells.",,,,,,,,,,,,,,,,,,,
632,4,matt_hall-18443,3,More of a Comedy than a Horror,"The film lacks so many qualities, when the trailer was first released I was dubious on what the final product would bring and was right to think like that. A production from Blumhouse for Horror gave me slight hope after a few creditable low end budget films in the past such as Get Out and Paranormal Activity. However, Blumhouse have released the latest rock bottom horror film that is one to forget as it contained minimal and predictable jump scares, a poor range of acting throughout however some possible potential from lead character Lucy Hale.If youre thinking about watching this film, dont spend the money in the cinema because its just not worth it and will probably be shown on TV or be on Netflix or Amazon Prime within the next year.",,,,,,,,,,,,,,,,,,,
